Design,Rep,fSR_ksha,Yield_Mgha
RCBD,1,40,16.491912367684705
RCBD,1,60,18.688043443253168
RCBD,1,80,19.80767758428778
RCBD,1,100,20.20913285932793
RCBD,1,120,20.537695667738667
RCBD,2,40,9.476553105920823
RCBD,2,60,12.168737029047012
RCBD,2,80,14.098410036467772
RCBD,2,100,14.36087948945573
RCBD,2,120,14.056982710166778
RCBD,3,40,6.069143456105403
RCBD,3,60,8.500304320532528
RCBD,3,80,9.64848417086051
RCBD,3,100,10.777889954674524
RCBD,3,120,9.86242512632034
RCBD,4,40,6.716880415383775
RCBD,4,60,9.18510289737419
RCBD,4,80,9.87955076638108
RCBD,4,100,11.801798920908904
RCBD,4,120,11.462437721290847
